user_id,plan_tier,mrr,status,churn_date
1,Starter,15,active,
2,Free,0,active,
3,Pro,49,active,
4,Starter,15,active,
5,Free,0,churned,2026-02-25
6,Starter,15,active,
7,Pro,49,active,
8,Free,0,active,
9,Pro,49,active,
10,Starter,15,active,
11,Free,0,churned,2025-10-30
12,Free,0,active,
13,Pro,49,active,
14,Pro,49,active,
15,Free,0,active,
16,Starter,15,active,
17,Starter,15,active,
18,Starter,15,active,
19,Pro,49,active,
20,Free,0,active,
21,Free,0,churned,2025-09-27
22,Free,0,active,
23,Starter,15,active,
24,Free,0,active,
25,Free,0,churned,2026-01-26
26,Starter,15,active,
27,Pro,49,active,
28,Free,0,churned,2026-08-29
29,Pro,49,active,
30,Starter,15,active,
31,Starter,15,churned,2025-02-16
32,Free,0,active,
33,Free,0,active,
34,Pro,49,active,
35,Free,0,churned,2026-08-06
36,Starter,15,active,
37,Free,0,active,
38,Starter,15,active,
39,Free,0,active,
40,Free,0,churned,2026-05-24
41,Starter,15,active,
42,Pro,49,active,
43,Free,0,churned,2025-06-27
44,Free,0,active,
45,Pro,49,active,
46,Pro,49,active,
47,Pro,49,active,
48,Starter,15,churned,2025-04-28
49,Free,0,churned,2026-08-06
50,Enterprise,199,active,
51,Starter,15,active,
52,Free,0,active,
53,Free,0,active,
54,Enterprise,199,active,
55,Starter,15,churned,
56,Pro,49,active,
57,Starter,15,active,
58,Free,0,active,
59,Enterprise,199,churned,2026-05-20
60,Starter,15,active,
61,Enterprise,199,active,
62,Pro,49,active,
63,Free,0,active,
64,Free,0,active,
65,Starter,15,active,
66,Pro,49,active,
67,Free,0,active,
68,Free,0,active,
69,Starter,15,active,
70,Free,0,churned,2026-07-21
71,Starter,15,active,
72,Free,0,active,
73,Starter,15,active,
74,Starter,15,active,
75,Starter,15,active,
76,Starter,15,active,
77,Free,0,active,
78,Starter,15,active,
79,Free,0,churned,2026-02-18
80,Starter,15,active,
81,Free,0,churned,2026-08-26
82,Enterprise,199,active,
83,Starter,15,active,
84,Pro,49,active,
85,Free,0,churned,2025-11-05
86,Enterprise,199,active,
87,Starter,15,active,
88,Pro,49,churned,2026-08-17
89,Free,0,churned,2026-07-06
90,Pro,49,churned,2026-03-17
91,Free,0,active,
92,Starter,15,active,
93,Free,0,active,
94,Pro,49,active,
95,Free,0,active,
96,Free,0,active,
97,Starter,15,active,
98,Free,0,active,
99,Starter,15,active,
100,Starter,15,active,
101,Free,0,active,
102,Starter,15,active,
103,Enterprise,199,active,
104,Starter,15,active,
105,Free,0,active,
106,Free,0,active,
107,Pro,49,active,
108,Free,0,active,
109,Free,0,active,
110,Starter,15,active,
111,Enterprise,199,active,
112,Free,0,active,
113,Starter,15,active,
114,Starter,15,active,
115,Starter,15,active,
116,Starter,15,active,
117,Starter,15,active,
118,Free,0,active,
119,Enterprise,199,active,
120,Starter,15,active,
121,Free,0,active,
122,Enterprise,199,active,
123,Pro,49,churned,2026-06-22
124,Free,0,active,
125,Free,0,active,
126,Free,0,active,
127,Free,0,active,
128,Enterprise,199,active,
129,Pro,49,active,
130,Free,0,active,
131,Pro,49,active,
132,Free,0,active,
133,Pro,49,active,
134,Free,0,active,
135,Free,0,active,
136,Free,0,active,
137,Free,0,active,
138,Free,0,active,
139,Starter,15,active,
140,Enterprise,199,active,
141,Free,0,active,
142,Free,0,active,
143,Pro,49,active,
144,Starter,15,active,
145,Free,0,active,
146,Free,0,active,
147,Starter,15,active,
148,Pro,49,active,
149,Starter,15,active,
150,Free,0,active,
151,Enterprise,199,active,
152,Starter,15,active,
153,Starter,15,active,
154,Free,0,active,
155,Pro,49,churned,2026-08-17
156,Starter,15,active,
157,Pro,49,active,
158,Free,0,active,
159,Starter,15,active,
160,Starter,15,active,
161,Starter,15,active,
162,Free,0,active,
163,Starter,15,active,
164,Pro,49,churned,2026-05-01
165,Free,0,active,
166,Free,0,active,
167,Starter,15,active,
168,Starter,15,active,
169,Pro,49,active,
170,Free,0,active,
171,Starter,15,active,
172,Free,0,active,
173,Free,0,active,
174,Starter,15,active,
175,Starter,15,active,
176,Free,0,active,
177,Pro,49,churned,2026-05-20
178,Pro,49,active,
179,Pro,49,active,
180,Free,0,active,
181,Free,0,active,
182,Starter,15,active,
183,Free,0,active,
184,Free,0,active,
185,Free,0,active,
186,Free,0,active,
187,Free,0,active,
188,Free,0,active,
189,Free,0,active,
190,Enterprise,199,churned,2026-06-06
191,Free,0,active,
192,Starter,15,active,
193,Pro,49,active,
194,Pro,49,active,
195,Pro,49,active,
196,Free,0,active,
197,Free,0,active,
198,Free,0,active,
199,Enterprise,199,active,
200,Enterprise,199,active,
201,Starter,15,active,
202,Starter,15,active,
203,Free,0,active,
204,Free,0,active,
205,Pro,49,active,
206,Pro,49,churned,2026-08-02
207,Pro,49,churned,2026-08-26
208,Pro,49,active,
209,Free,0,active,
210,Free,0,active,
211,Free,0,active,
212,Free,0,churned,2026-09-01
213,Starter,15,active,
214,Starter,15,active,
215,Free,0,active,
216,Pro,49,active,
217,Free,0,active,
218,Starter,15,active,
219,Enterprise,199,active,
220,Starter,15,active,
221,Starter,15,active,
222,Starter,15,active,
223,Pro,49,active,
224,Starter,15,active,
225,Starter,15,active,
226,Pro,49,churned,2026-08-23
227,Starter,15,active,
228,Pro,49,active,
229,Free,0,active,
230,Starter,15,active,
231,Pro,49,active,
232,Starter,15,active,
233,Free,0,active,
234,Free,0,active,
235,Pro,49,churned,2026-04-24
236,Starter,15,active,
237,Starter,15,active,
238,Starter,15,active,
239,Free,0,churned,2026-08-25
