ticket_id,user_id,issue_type,created_date,resolution_hours,satisfaction_score
1,2,performance,2026-06-11,6.9,
2,2,performance,2026-04-24,5.8,1.0
3,3,billing,2026-01-22,1.5,
4,4,feature_request,2026-01-07,26.8,1.0
5,4,billing,2026-02-04,2.0,5.0
6,5,performance,2025-04-29,23.0,3.0
7,5,how_to,2025-12-16,32.6,2.0
8,5,billing,2024-11-09,32.1,4.0
9,5,feature_request,2025-05-21,17.7,2.0
10,5,bug,2026-07-11,1.7,5.0
11,5,how_to,2024-12-17,11.1,4.0
12,6,how_to,2026-05-05,11.0,2.0
13,6,feature_request,2026-08-06,54.2,3.0
14,6,feature_request,2026-08-17,26.4,
15,7,bug,2025-12-19,29.3,5.0
16,7,billing,2025-12-31,13.4,4.0
17,7,feature_request,2026-02-25,14.0,5.0
18,8,billing,2026-05-10,41.8,3.0
19,8,bug,2025-12-01,8.3,
20,9,feature_request,2025-12-02,8.6,3.0
21,10,bug,2026-05-14,16.2,5.0
22,11,feature_request,2025-01-08,34.7,2.0
23,12,bug,2025-12-16,4.2,1.0
24,12,how_to,2025-09-03,4.2,5.0
25,15,bug,2026-03-27,8.2,2.0
26,15,performance,2026-07-21,8.9,3.0
27,15,billing,2026-02-16,6.9,
28,15,billing,2026-01-02,17.4,2.0
29,16,feature_request,2025-09-01,10.5,5.0
30,17,feature_request,2024-10-02,58.8,2.0
31,17,feature_request,2025-10-18,73.3,2.0
32,18,feature_request,2026-01-04,16.9,2.0
33,19,how_to,2026-02-24,12.0,
34,19,bug,2025-11-28,19.3,
35,20,billing,2025-12-08,47.0,
36,21,performance,2025-04-21,22.6,3.0
37,21,bug,2026-07-20,4.2,5.0
38,21,performance,2025-09-13,26.9,
39,21,feature_request,2026-02-21,4.7,3.0
40,22,billing,2026-02-15,3.0,3.0
41,25,billing,2026-07-29,2.1,5.0
42,25,performance,2026-01-31,0.5,2.0
43,25,billing,2026-06-04,4.3,1.0
44,26,feature_request,2026-04-04,10.5,3.0
45,29,feature_request,2026-01-05,1.4,
46,29,how_to,2025-08-17,11.9,
47,30,how_to,2024-10-11,77.2,2.0
48,31,bug,2026-03-03,13.4,5.0
49,31,how_to,2025-02-21,18.7,4.0
50,32,bug,2026-05-26,16.6,4.0
51,32,how_to,2026-06-08,12.7,1.0
52,33,bug,2026-07-30,22.3,1.0
53,33,feature_request,2026-06-15,3.0,4.0
54,33,how_to,2026-04-01,9.9,
55,35,bug,2026-07-19,11.9,4.0
56,36,billing,2025-11-25,17.0,2.0
57,37,how_to,2026-07-17,37.8,1.0
58,39,feature_request,2026-08-27,28.0,5.0
59,39,performance,2025-07-18,7.0,
60,41,how_to,2026-03-06,9.7,2.0
61,41,performance,2024-12-23,37.6,5.0
62,41,how_to,2025-02-07,14.4,5.0
63,41,billing,2025-08-05,4.9,5.0
64,41,bug,2026-02-23,46.3,1.0
65,42,performance,2025-11-07,11.8,5.0
66,42,billing,2026-02-19,39.1,4.0
67,43,billing,2026-05-14,1.7,3.0
68,44,billing,2025-12-30,82.7,
69,44,performance,2025-12-27,1.7,5.0
70,45,bug,2026-09-01,11.3,2.0
71,46,how_to,2026-08-03,9.3,4.0
72,46,billing,2025-08-16,6.0,2.0
73,46,bug,2026-08-22,10.4,3.0
74,47,bug,2026-07-18,11.1,5.0
75,48,performance,2026-05-31,29.6,1.0
76,48,performance,2025-09-19,0.2,3.0
77,50,feature_request,2026-07-20,39.2,
78,50,billing,2026-07-24,35.6,2.0
79,51,performance,2026-02-12,34.9,2.0
80,52,feature_request,2026-08-07,3.6,3.0
81,52,bug,2026-06-22,26.7,5.0
