user_id,company_name,signup_date,plan_tier,company_size,country
1,Montoya Inc,2024-09-25,Starter,1-10,Australia
2,"Reeves, Abbott and Roberts",2025-11-03,Free,11-50,India
3,Ward-Mckenzie,2025-07-24,Pro,500+,USA
4,Estrada-Kelly,2025-08-04,Starter,1-10,USA
5,"Newman, Peck and Washington",2024-11-01,Free,11-50,Canada
6,Lopez-Nguyen,2026-03-08,Starter,500+,India
7,"Fleming, Ibarra and Mckinney",2025-12-17,Pro,500+,Germany
8,Smith Inc,2025-11-12,Free,500+,UK
9,Weber-Stephenson,2025-11-30,Pro,1-10,India
10,Fernandez-Vargas,2026-05-12,Starter,51-200,UK
11,Klein-Walker,2024-10-04,Free,51-200,USA
12,Brock PLC,2025-06-24,Free,1-10,UK
13,"West, Reyes and Henderson",2026-03-07,Pro,500+,UK
14,"Evans, Schmitt and Brown",2025-10-25,Pro,201-500,Canada
15,Brewer LLC,2025-11-12,Free,201-500,USA
16,"Ramos, Gray and Jones",2025-05-02,Starter,500+,UK
17,Werner-Gibson,2024-09-03,Starter,1-10,USA
18,Boyer-Velasquez,2024-09-20,Starter,51-200,USA
19,"Brooks, Rosales and Garcia",2025-05-18,Pro,1-10,Germany
20,Rivera-Williams,2024-12-21,Free,51-200,India
21,Parks Group,2025-02-28,Free,11-50,Australia
22,Wright-Young,2025-08-24,Free,1-10,Canada
23,Griffin and Sons,2025-10-15,Starter,500+,Australia
24,"West, Willis and Knapp",2026-06-25,Free,201-500,Germany
25,Hayes-Moore,2025-12-21,Free,500+,India
26,"Travis, Clark and Brown",2024-12-02,Starter,1-10,India
27,Dennis Inc,2025-05-28,Pro,51-200,Germany
28,Vincent Ltd,2026-06-16,Free,11-50,Canada
29,"Fox, Lang and Walsh",2025-01-04,Pro,51-200,India
30,Cruz-English,2024-09-09,Starter,201-500,Australia
31,Marquez PLC,2024-11-03,Starter,51-200,India
32,"Robinson, Wheeler and Wright",2026-04-05,Free,500+,Canada
33,Mitchell and Sons,2025-12-27,Free,500+,Germany
34,Lee-Erickson,2026-05-16,Pro,201-500,UK
35,"Colon, Bailey and Silva",2026-01-16,Free,11-50,Canada
36,Green and Sons,2025-03-07,Starter,1-10,USA
37,Turner-Howe,2025-06-27,Free,11-50,Australia
38,"Stanley, Burton and Collins",2026-05-30,Starter,1-10,Germany
39,"Munoz, Mitchell and Hancock",2025-03-19,Free,201-500,Canada
40,Medina PLC,2024-12-21,Free,500+,USA
41,"Blackwell, Brown and Hart",2024-12-09,Starter,1-10,Australia
42,Figueroa LLC,2025-03-12,Pro,51-200,Australia
43,"Ford, Maldonado and Arnold",2024-12-25,Free,51-200,Germany
44,Shah PLC,2025-07-12,Free,1-10,Australia
45,Morales Inc,2026-08-28,Pro,51-200,Canada
46,"Gardner, Reeves and Williams",2025-04-22,Pro,500+,USA
47,"Taylor, Ortiz and Park",2025-12-30,Pro,51-200,Australia
48,Miller-Taylor,2024-11-08,Starter,11-50,India
49,Castro Group,2026-02-25,Free,11-50,Canada
50,"Horn, Case and Haynes",2026-07-15,Enterprise,500+,USA
51,Campos-Yates,2025-01-30,Starter,201-500,USA
52,Hendricks-Williams,2026-06-17,Free,51-200,UK
53,"Crane, Lewis and Stewart",2025-04-24,Free,11-50,Canada
54,Atkins-Meza,2026-05-24,Enterprise,1-10,Australia
55,Salinas Inc,2026-08-29,Starter,1-10,Canada
56,"Martinez, Vincent and Anderson",2026-06-06,Pro,11-50,Australia
57,Gregory PLC,2025-01-12,Starter,500+,India
58,Barr-Salazar,2026-08-21,Free,500+,Germany
59,Adkins-Hall,2026-02-17,Enterprise,500+,Australia
60,Rios and Sons,2025-12-14,Starter,51-200,Germany
61,"Washington, Potter and Patterson",2026-07-19,Enterprise,51-200,Germany
62,Nguyen-Cervantes,2026-02-08,Pro,201-500,USA
63,Dougherty Group,2025-07-15,Free,1-10,UK
64,Blair Ltd,2024-10-14,Free,500+,India
65,Reed-Wang,2026-05-11,Starter,1-10,USA
66,"Perez, Myers and Campbell",2026-03-29,Pro,1-10,India
67,"Shea, Miller and Buchanan",2025-10-07,Free,1-10,UK
68,Williams PLC,2025-07-30,Free,11-50,UK
69,"Clark, Franklin and Sullivan",2026-08-18,Starter,11-50,Canada
70,Young LLC,2026-05-08,Free,500+,Canada
71,"Dalton, Long and Jones",2025-09-23,Starter,201-500,Germany
72,Jackson Inc,2025-01-04,Free,1-10,Australia
73,"Walker, Booker and Hart",2026-06-26,Starter,201-500,Germany
74,"Herrera, Johnson and Cox",2026-07-26,Starter,1-10,Australia
75,"Williams, Clark and Allen",2026-04-01,Starter,1-10,USA
76,"Holmes, Kerr and Lucas",2025-09-20,Starter,51-200,USA
77,"Garcia, Valdez and Wiley",2024-11-17,Free,11-50,Canada
78,"Herrera, Frey and Zuniga",2025-11-17,Starter,201-500,India
79,"Rivera, Goodwin and Sanchez",2025-05-13,Free,11-50,USA
80,Lopez-Elliott,2025-04-01,Starter,500+,USA
81,"Meyer, Frey and Morse",2025-03-06,Free,500+,USA
82,Simmons LLC,2026-08-06,Enterprise,11-50,India
83,"Monroe, Horn and Gray",2026-04-19,Starter,201-500,India
84,Singh-Jackson,2025-04-04,Pro,1-10,India
85,Smith LLC,2025-03-05,Free,201-500,UK
86,Luna-Arnold,2025-08-15,Enterprise,201-500,UK
87,"Sanchez, Luna and Pittman",2024-11-03,Starter,500+,Australia
88,Mcbride Group,2025-06-15,Pro,11-50,India
89,Butler-Singh,2025-03-18,Free,1-10,Canada
90,"Brandt, Smith and Dean",2025-08-01,Pro,1-10,Australia
91,Ortega-Payne,2025-02-22,Free,1-10,Canada
92,"Wood, Reyes and Rodriguez",2025-09-02,Starter,500+,India
93,Mccall Group,2025-03-02,Free,500+,USA
94,Davila and Sons,2025-04-04,Pro,1-10,Canada
95,Anderson LLC,2025-05-27,Free,11-50,Germany
96,Hill Group,2024-10-09,Free,500+,India
97,"Mcdaniel, Chung and Vaughn",2025-03-01,Starter,1-10,Canada
